Method,Library,Hyperparameter,MSE_Train,MSE_Val,MSE_Test,n_Terms
Lasso SINDy,Full,Alpha=0.0010,36.31495361007441,35.41190558785645,43.09082396884987,22
Lasso SINDy,Full,Alpha=0.0100,47.54489345228626,50.074654981563285,40.72675120146921,9
Lasso SINDy,Full,Alpha=0.1000,79.21215949902782,71.07198335238574,43.24135641848058,1
Lasso SINDy,Unit-Consistent,Alpha=0.0010,1066.5634983439732,1414.2363433013015,548.9469899329831,11
Lasso SINDy,Unit-Consistent,Alpha=0.0100,1068.312477736995,1413.6672208772156,562.5975530845037,8
Lasso SINDy,Unit-Consistent,Alpha=0.1000,1100.9527133522731,1358.1097086897344,530.6800962934474,2
