experiment,equation,label,r2_vs_ground_truth,rmse_vs_ground_truth,r2_vs_analytical,rmse_vs_analytical,mean_physics_violation,max_physics_violation,term_overlap_score,matched_terms,total_expected_terms,matched_patterns,missing_patterns,sindy_equation
bouncing_ball_1,a1_x,x-EOM,0.9116073422423324,0.033478158692385886,0.9116073577762243,0.03347815705876125,13.251249588353257,13.586624201415765,0.6,3,5,"cos.*q3_dot, cos\(q3\), lambdaF|lF|a2_y","sin.*q3_dot, sin\(q3\)",+ 0.104053*cos(q3)*q3_dot^2 + 0.065478*cos(q3)*q3_dot a2_y
bouncing_ball_1,a2_y,y-EOM,0.9845572423257507,0.06476346927437737,-285.08176051963306,8.811071431029115,13.251249588353257,13.586624201415765,1.0,5,5,"sin.*q3_dot, cos.*q3_dot, sin\(q3\), cos\(q3\), lambdaN|lN|a1_x",,+ 2597946151.929143*cos(q3)*q2 a3_theta - 467630302.353406*cos(q3)*a3_theta - 4247250.066215*a1_x a3_theta - 764505.934701*a3_theta^2 + 31.463683*q1_dot a3_theta - 26.339617*cos(q3)*q2_dot a3_theta - 24.074799*a1_x^2 - 17.939955*sin(q3)*a1_x^2 + 17.520889*q2 q1_dot - 11.789619*cos(q3)*a1_x^2 + 11.625296*sin(q3)*q1_dot a1_x + 8.595040*sin(q3)*q1 q3_dot - 5.063958*sin(q3)*q3_dot - 3.432783*sin(q3)*q1_dot^2 - 2.761962*sin(q3)*q3_dot a3_theta - 2.732166*cos(q3)*q3_dot a3_theta + 2.476725*q3_dot a3_theta + 2.179267*q2 q3_dot + 2.092557*sin(q3)*q3 q3_dot - 1.356098*q2_dot^2 + 0.969402*sin(q3)*q2_dot^2 - 0.440489*q2 q3
bouncing_ball_1,a3_theta,θ-EOM,-0.40748867207576134,0.5707986698263371,-0.4074886076439306,0.5707986747211454,13.251249588353257,13.586624201415765,0.0,0,5,,"sin\(q3\), cos\(q3\), lambdaN|lN, lambdaF|lF, q3_dot",0
bouncing_ball_2,a1_x,x-EOM,0.49958211179663004,0.07927090806885737,0.49958211149196086,0.07927090805144359,13.220755531341176,14.846046529421944,0.4,2,5,"cos.*q3_dot, cos\(q3\)","sin.*q3_dot, sin\(q3\), lambdaF|lF|a2_y",- 0.096030*cos(q3)*q1_dot q3_dot + 0.072479*cos(q3)*q3_dot^2 + 0.063390*q2_dot q3_dot
bouncing_ball_2,a2_y,y-EOM,0.3689883683068944,0.41605934207481937,-282.2735469169925,8.811685143649417,13.220755531341176,14.846046529421944,0.6,3,5,"cos.*q3_dot, cos\(q3\), lambdaN|lN|a1_x","sin.*q3_dot, sin\(q3\)",- 7.672220*q2_dot a1_x - 1.846503*q2 - 1.631282*cos(q3)*q2 q2_dot + 0.636731*cos(q3)*q2_dot + 0.483351*cos(q3)*q2 + 0.425483*q2_dot + 0.303973*cos(q3)*q2_dot q3_dot
bouncing_ball_2,a3_theta,θ-EOM,0.9990809250449139,0.015349877553780842,0.9990809230037593,0.015349894271307007,13.220755531341176,14.846046529421944,0.0,0,5,,"sin\(q3\), cos\(q3\), lambdaN|lN, lambdaF|lF, q3_dot",- 5.551988*a1_x - 5.137898*a1_x a2_y
bouncing_ball_3,a1_x,x-EOM,0.981855194903504,3.883038356370398e-12,0.9944494697032391,2.1171291560399902e-12,13.21649981623098,13.963120755080599,0.4,2,5,"cos\(q3\), lambdaF|lF|a2_y","cos.*q3_dot, sin.*q3_dot, sin\(q3\)",+ 110920872.958803*cos(q3)*q2 + 70614420.004342*cos(q3)*q2 q3 + 1.412124*cos(q3)*q2 a2_y
bouncing_ball_3,a2_y,y-EOM,0.8485882160155176,0.1906274590831202,-322.89154461019086,8.812994291210403,13.21649981623098,13.963120755080599,0.8,4,5,"sin.*q3_dot, cos.*q3_dot, sin\(q3\), cos\(q3\)",lambdaN|lN|a1_x,- 120266007668.301743*cos(q3)*q2 q2_dot + 50173111055.139954*cos(q3)*q2^2 + 14380117682.870567*sin(q3)*q1 q2 - 14380117682.870527*q1 q2 + 12736478377.404570*cos(q3)*q2_dot - 8108293960.031011*cos(q3)*q3 q2_dot - 4975504666.000579*q2 q3_dot + 4975504666.000573*sin(q3)*q2 q3_dot + 2757079822.765724*cos(q3)*q2 - 2676479621.530152*sin(q3)*q1 + 2676479621.530150*q1 - 1755211524.836975*cos(q3)*q2 q3 + 1703899852.000530*sin(q3)*q1 q3 - 1703899852.000516*q1 q3 - 450838522.345707*cos(q3) + 287012718.294032*cos(q3)*q3 - 182717971.911376*cos(q3)*q3^2 + 90169345.482356*q3 - 90167624.727071*sin(q3)*q3 - 57403040.512804*sin(q3)*q3^2 + 57403040.512804*q3^2 + 1.575292*q2^2 - 1.575292*sin(q3)*q2^2 - 1.123748*q2 + 1.123746*sin(q3)*q2 + 0.715399*q2 q3 - 0.715399*sin(q3)*q2 q3 - 0.479429*q2 q2_dot + 0.479429*sin(q3)*q2 q2_dot + 0.196279*sin(q3)*q2_dot^2 - 0.196279*q2_dot^2
bouncing_ball_3,a3_theta,θ-EOM,-0.02549886446725913,1.6068971880836127e-10,-0.024983370384857873,1.5903752920427563e-10,13.21649981623098,13.963120755080599,0.0,0,5,,"sin\(q3\), cos\(q3\), lambdaN|lN, lambdaF|lF, q3_dot",0
