sep=,
DeviceTag:,OR
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-09-03_20:39:26_000 PDT
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status
0,897639437,-8.17712688446045,4.02257108688354,-57.62194824218750,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,-0.58496093750000,-0.17749023437500,-1.76245117187500,0
1,897647770,-8.18009185791016,4.01107454299927,-57.61903762817383,0.99999988079071,-0.00042490568012,-0.00010100472718,-0.00002373289317,-0.00468772649765,-0.01017922163010,0.08098858594894,-0.56160497665405,-1.22542762756348,9.71858501434326,-5.84310626983643,-1.38897037506104,-0.32636377215385,-0.57958984375000,-0.18017578125000,-1.76611328125000,0
2,897656103,-8.18041419982910,3.99709415435791,-57.61431884765625,0.99999988079071,-0.00041379500180,-0.00012345332652,-0.00001366157085,-0.00483161211014,-0.01115334033966,0.08072584867477,-0.57865333557129,-1.34230208396912,9.68702697753906,-5.69031763076782,-1.69767296314240,-0.18786761164665,-0.57690429687500,-0.18286132812500,-1.76513671875000,0
3,897664436,-8.18189144134521,3.98412847518921,-57.61108779907227,0.99999988079071,-0.00041201990098,-0.00011404324323,-0.00002289470285,-0.00492554903030,-0.01177102327347,0.08068871498108,-0.58998060226440,-1.41648447513580,9.68252944946289,-5.66590738296509,-1.56827008724213,-0.31483739614487,-0.58398437500000,-0.18286132812500,-1.75976562500000,0
4,897672769,-8.18145465850830,3.97276329994202,-57.60820770263672,0.99999994039536,-0.00040609110147,-0.00009847152978,-0.00002569053322,-0.00552231073380,-0.01196140050888,0.08052587509155,-0.66169530153275,-1.43944621086121,9.66296100616455,-5.58437728881836,-1.35413491725922,-0.35328435897827,-0.57861328125000,-0.18554687500000,-1.76245117187500,0
5,897681102,-8.18238449096680,3.96488595008850,-57.60527801513672,0.99999994039536,-0.00040713790804,-0.00006971973926,-0.00001911725849,-0.00586915016174,-0.01108258962631,0.07983386516571,-0.70360106229782,-1.33405697345734,9.57993125915527,-5.59877204895020,-0.95875358581543,-0.26289168000221,-0.58325195312500,-0.18457031250000,-1.76342773437500,0
6,897689435,-8.18173217773438,3.95757174491882,-57.60018920898438,0.99999994039536,-0.00040541496128,-0.00006628502160,-0.00000199209899,-0.00588649511337,-0.01029503345490,0.07922202348709,-0.70573723316193,-1.23953866958618,9.50654029846191,-5.57507944107056,-0.91152095794678,-0.02739442698658,-0.57885742187500,-0.18286132812500,-1.75610351562500,0
7,897697768,-8.17927932739258,3.94918131828308,-57.59415817260742,0.99999994039536,-0.00037940498441,-0.00007793586701,0.00000693835318,-0.00544643402100,-0.00980061292648,0.07985395193100,-0.65286475419998,-1.17972612380981,9.58246421813965,-5.21740150451660,-1.07173800468445,0.09541302174330,-0.57885742187500,-0.18457031250000,-1.75878906250000,0
8,897706101,-8.17455863952637,3.93714189529419,-57.58633804321289,0.99999994039536,-0.00037157628685,-0.00011061783880,0.00001583434641,-0.00475543737411,-0.00887936353683,0.08108645677567,-0.56962668895721,-1.06913590431213,9.73043441772461,-5.10974550247192,-1.52116549015045,0.21774663031101,-0.57421875000000,-0.18115234375000,-1.75878906250000,0
9,897714434,-8.17203617095947,3.92618703842163,-57.57723236083984,0.99999994039536,-0.00038063246757,-0.00010380800813,0.00003036856651,-0.00390869379044,-0.00900268554688,0.08110338449478,-0.46813187003136,-1.08387732505798,9.73244857788086,-5.23428201675415,-1.42751979827881,0.41761448979378,-0.57690429687500,-0.18554687500000,-1.76416015625000,0
