sep=,
DeviceTag:,OR
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-09-03_20:40:44_000 PDT
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status
0,975552987,-4.84425830841064,3.19390153884888,0.21948704123497,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,-0.79833984375000,-0.02392578125000,-1.73437500000000,0
1,975561320,-4.83582401275635,3.20528078079224,0.22051924467087,0.99999994039536,-0.00032492820174,0.00010021962225,-0.00001740735024,-0.00489240884781,-0.00688242912292,0.08138668537140,-0.58810424804688,-0.82919836044312,9.76645565032959,-4.46826267242432,1.37817394733429,-0.23937785625458,-0.79638671875000,-0.02197265625000,-1.73168945312500,0
2,975569653,-4.82819080352783,3.21574711799622,0.21423886716366,0.99999994039536,-0.00033319648355,0.00009920634329,-0.00002191122621,-0.00639814138412,-0.00558817386627,0.08113187551498,-0.76874208450317,-0.67381119728088,9.73591899871826,-4.58196401596069,1.36423981189728,-0.30131307244301,-0.80102539062500,-0.02294921875000,-1.72631835937500,0
3,975577986,-4.82028388977051,3.22990059852600,0.21563099324703,0.99999994039536,-0.00032970216125,0.00012410990894,-0.00001219939440,-0.00653290748596,-0.00540864467621,0.08007794618607,-0.78511685132980,-0.65211212635040,9.60943889617920,-4.53391265869141,1.70670223236084,-0.16776044666767,-0.79370117187500,-0.02392578125000,-1.73608398437500,0
4,975586319,-4.81310844421387,3.24412226676941,0.23959676921368,0.99999994039536,-0.00033739302307,0.00013151392341,-0.00001468416303,-0.00569885969162,-0.00545626878738,0.07992738485336,-0.68502658605576,-0.65772455930710,9.59138584136963,-4.63967323303223,1.80851888656616,-0.20192983746529,-0.79003906250000,-0.01928710937500,-1.74072265625000,0
5,975594652,-4.80515623092651,3.25980520248413,0.24024254083633,0.99999994039536,-0.00032894965261,0.00013796426356,-0.00001759920269,-0.00480407476425,-0.00605094432831,0.08043110370636,-0.57774460315704,-0.72911918163300,9.65182018280029,-4.52356386184692,1.89722084999084,-0.24201609194279,-0.79101562500000,-0.01489257812500,-1.73510742187500,0
6,975602985,-4.79757881164551,3.27090477943420,0.25456750392914,0.99999994039536,-0.00033365469426,0.00010481104255,-0.00002456922084,-0.00414967536926,-0.00720643997192,0.08089971542358,-0.49894711375237,-0.86796075105667,9.70802211761475,-4.58826541900635,1.44131302833557,-0.33786460757256,-0.79565429687500,-0.01928710937500,-1.73242187500000,0
7,975611318,-4.79147958755493,3.28231287002563,0.25519838929176,0.99999994039536,-0.00034505780786,0.00010071136057,-0.00002095382661,-0.00326085090637,-0.00709801912308,0.08117508888245,-0.39220339059830,-0.85489457845688,9.74109363555908,-4.74507570266724,1.38493609428406,-0.28814736008644,-0.79296875000000,-0.02294921875000,-1.73437500000000,0
8,975619651,-4.78637838363647,3.29077768325806,0.26646861433983,0.99999994039536,-0.00035679060966,0.00007977336645,0.00000012665987,-0.00273519754410,-0.00729924440384,0.08161658048630,-0.32893374562263,-0.87906086444855,9.79407787322998,-4.90641975402832,1.09700644016266,0.00174176809378,-0.80078125000000,-0.02832031250000,-1.73535156250000,0
9,975627984,-4.78239440917969,3.29793953895569,0.27060675621033,0.99999994039536,-0.00036526005715,0.00006122142076,0.00000642240047,-0.00298023223877,-0.00705039501190,0.08225196599960,-0.35830435156822,-0.84999418258667,9.87026882171631,-5.02288722991943,0.84188866615295,0.08831787854433,-0.79370117187500,-0.02465820312500,-1.74169921875000,0
10,975636317,-4.78003358840942,3.30308461189270,0.26241895556450,0.99999994039536,-0.00038088206202,0.00005059130490,0.00000138208270,-0.00363010168076,-0.00647443532944,0.08254504203796,-0.43613651394844,-0.78077083826065,9.90547943115234,-5.23771333694458,0.69570815563202,0.01900576241314,-0.79028320312500,-0.02294921875000,-1.73706054687500,0
11,975644650,-4.78167390823364,3.30693292617798,0.26232311129570,0.99999994039536,-0.00041222665459,0.00003549829125,-0.00003269407898,-0.00436657667160,-0.00656414031982,0.08164972066879,-0.52434438467026,-0.79193878173828,9.79799938201904,-5.66875076293945,0.48815613985062,-0.44959390163422,-0.80004882812500,-0.02026367187500,-1.73437500000000,0
12,975652983,-4.78463840484619,3.30992603302002,0.26268115639687,0.99999988079071,-0.00042396504432,0.00003704056144,-0.00005986262113,-0.00569659471512,-0.00726801156998,0.08065015077591,-0.68391513824463,-0.87620824575424,9.67802047729492,-5.83017158508301,0.50936472415924,-0.82320314645767,-0.79199218750000,-0.02294921875000,-1.73437500000000,0
13,975661316,-4.78991413116455,3.31217646598816,0.25722512602806,0.99999988079071,-0.00044126156718,0.00002548471093,-0.00008042994887,-0.00622701644897,-0.00653022527695,0.08055299520493,-0.74746108055115,-0.78812932968140,9.66636753082275,-6.06802463531494,0.35045397281647,-1.10603535175323,-0.79296875000000,-0.02465820312500,-1.73632812500000,0
14,975669649,-4.79670763015747,3.31311869621277,0.25203803181648,0.99999988079071,-0.00045535434037,0.00002163276076,-0.00009417999536,-0.00580966472626,-0.00714892148972,0.08046764135361,-0.69731074571609,-0.86220139265060,9.65610980987549,-6.26182222366333,0.29748371243477,-1.29511952400208,-0.79541015625000,-0.01928710937500,-1.73876953125000,0
15,975677982,-4.80431413650513,3.31306529045105,0.24495771527290,0.99999988079071,-0.00046082120389,0.00000672787428,-0.00009625870734,-0.00502234697342,-0.00638651847839,0.08044373989105,-0.60269719362259,-0.77065402269363,9.65329647064209,-6.33700037002563,0.09251862764359,-1.32370531558990,-0.79736328125000,-0.02563476562500,-1.73168945312500,0
16,975686315,-4.81224107742310,3.31054186820984,0.24068063497543,0.99999988079071,-0.00046622287482,-0.00000988226384,-0.00008038338274,-0.00387006998062,-0.00591534376144,0.08108031749725,-0.46426352858543,-0.71473926305771,9.72967815399170,-6.41128158569336,-0.13589631021023,-1.10539507865906,-0.79370117187500,-0.02197265625000,-1.73437500000000,0
17,975694648,-4.82234954833984,3.30655384063721,0.23454184830189,0.99999988079071,-0.00048310402781,-0.00002823118120,-0.00009093526751,-0.00282210111618,-0.00635159015656,0.08117973804474,-0.33832699060440,-0.76687955856323,9.74160480499268,-6.64342308044434,-0.38822215795517,-1.25049984455109,-0.79736328125000,-0.02197265625000,-1.73437500000000,0
18,975702981,-4.83274984359741,3.29951047897339,0.22589242458344,0.99999988079071,-0.00048745144159,-0.00004876498133,-0.00008907448500,-0.00256389379501,-0.00661915540695,0.08095830678940,-0.30715548992157,-0.79891079664230,9.71502494812012,-6.70320653915405,-0.67059350013733,-1.22491109371185,-0.79565429687500,-0.02294921875000,-1.73071289062500,0
19,975711314,-4.84333419799805,3.29286003112793,0.22060646116734,0.99999988079071,-0.00048768240958,-0.00005197804421,-0.00008544418961,-0.00310570001602,-0.00645571947098,0.08134931325912,-0.37214669585228,-0.77932769060135,9.76196002960205,-6.70638275146484,-0.71477800607681,-1.17498886585236,-0.79638671875000,-0.02026367187500,-1.73242187500000,0
20,975719647,-4.85339164733887,3.28574252128601,0.20874214172363,0.99999988079071,-0.00048541557044,-0.00005044881254,-0.00007536169142,-0.00306469202042,-0.00698673725128,0.08130425214767,-0.36723449826241,-0.84309953451157,9.75651931762695,-6.67521047592163,-0.69374877214432,-1.03633916378021,-0.79199218750000,-0.02026367187500,-1.73608398437500,0
21,975727980,-4.86458349227905,3.27681207656860,0.20460061728954,0.99999988079071,-0.00049359072000,-0.00007261056453,-0.00007724855095,-0.00346744060516,-0.00645017623901,0.08202099800110,-0.41529431939125,-0.77919864654541,9.84254169464111,-6.78763103485107,-0.99850672483444,-1.06228625774384,-0.79467773437500,-0.02465820312500,-1.73535156250000,0
22,975736313,-4.87577486038208,3.26395320892334,0.16968289017677,0.99999988079071,-0.00049463938922,-0.00009935069829,-0.00009163189679,-0.00399398803711,-0.00698357820511,0.08170831203461,-0.47822552919388,-0.84305524826050,9.80501556396484,-6.80205249786377,-1.36622500419617,-1.26007950305939,-0.79638671875000,-0.02661132812500,-1.73364257812500,0
23,975744646,-4.88751554489136,3.25050854682922,0.16485090553761,0.99999988079071,-0.00049803312868,-0.00011133495718,-0.00008669029921,-0.00410223007202,-0.00663793087006,0.08194077014923,-0.49112200737000,-0.80152839422226,9.83294105529785,-6.84872150421143,-1.53102707862854,-1.19212508201599,-0.79565429687500,-0.01928710937500,-1.73437500000000,0
24,975752979,-4.89918899536133,3.23459458351135,0.14735601842403,0.99999988079071,-0.00049855466932,-0.00012561213225,-0.00009721983224,-0.00408667325974,-0.00725203752518,0.08085650205612,-0.48914337158203,-0.87506520748138,9.70280361175537,-6.85589361190796,-1.72736012935638,-1.33692240715027,-0.79638671875000,-0.01928710937500,-1.73608398437500,0
25,975761312,-4.91150331497192,3.21702742576599,0.14066252112389,0.99999988079071,-0.00050212163478,-0.00014579761773,-0.00010584387928,-0.00491273403168,-0.00644046068192,0.08072572946548,-0.58798658847809,-0.77804523706436,9.68715572357178,-6.90494537353516,-2.00494170188904,-1.45551621913910,-0.79199218750000,-0.02294921875000,-1.72973632812500,0
26,975769645,-4.92241334915161,3.19864344596863,0.10869316011667,0.99999988079071,-0.00049187894911,-0.00014676805586,-0.00010227691382,-0.00468182563782,-0.00676679611206,0.08043777942657,-0.56037312746048,-0.81675320863724,9.65260982513428,-6.76409196853638,-2.01828622817993,-1.40646481513977,-0.79467773437500,-0.01928710937500,-1.73706054687500,0
27,975777978,-4.93381309509277,3.17995190620422,0.10264813899994,0.99999988079071,-0.00049454253167,-0.00015598814934,-0.00010125804693,-0.00452309846878,-0.00607275962830,0.08009874820709,-0.54128175973892,-0.73338031768799,9.61196708679199,-6.80072069168091,-2.14507722854614,-1.39245402812958,-0.78930664062500,-0.01489257812500,-1.73681640625000,0
28,975786311,-4.94440031051636,3.16344475746155,0.09332945197821,0.99999988079071,-0.00049005728215,-0.00013213884085,-0.00008141901344,-0.00414377450943,-0.00573289394379,0.08027064800262,-0.49592384696007,-0.69280749559402,9.63258647918701,-6.73904085159302,-1.81711208820343,-1.11963665485382,-0.79467773437500,-0.02026367187500,-1.73535156250000,0
29,975794644,-4.95482921600342,3.14754319190979,0.08923207223415,0.99999988079071,-0.00048702675849,-0.00013319682330,-0.00008217524737,-0.00374346971512,-0.00524181127548,0.08062684535980,-0.44786033034325,-0.63391017913818,9.67535495758057,-6.69736623764038,-1.83166098594666,-1.13003587722778,-0.80004882812500,-0.01928710937500,-1.73266601562500,0
30,975802977,-4.96507024765015,3.13178372383118,0.08222492039204,0.99999988079071,-0.00048685166985,-0.00012528989464,-0.00008562486619,-0.00356614589691,-0.00596410036087,0.08107781410217,-0.42663413286209,-0.72064423561096,9.72942352294922,-6.69495916366577,-1.72292864322662,-1.17747366428375,-0.79370117187500,-0.02026367187500,-1.73535156250000,0
31,975811310,-4.97571277618408,3.11429190635681,0.07828896492720,0.99999988079071,-0.00048888940364,-0.00014717970043,-0.00008202996105,-0.00359445810318,-0.00525212287903,0.08140546083450,-0.42985805869102,-0.63510596752167,9.76879978179932,-6.72298097610474,-2.02394700050354,-1.12803804874420,-0.79199218750000,-0.01586914062500,-1.73608398437500,0
32,975819643,-4.98563098907471,3.09621143341064,0.07449458539486,0.99999988079071,-0.00048479344696,-0.00014614593238,-0.00007824692875,-0.00322926044464,-0.00589990615845,0.08136826753616,-0.38601192831993,-0.71288484334946,9.76428890228271,-6.66665506362915,-2.00973129272461,-1.07601547241211,-0.79467773437500,-0.02294921875000,-1.73608398437500,0
33,975827976,-4.99632120132446,3.07965445518494,0.07261659204960,0.99999988079071,-0.00049037579447,-0.00014055054635,-0.00006359349936,-0.00288516283035,-0.00579613447189,0.08143132925034,-0.34479430317879,-0.70044982433319,9.77185153961182,-6.74342203140259,-1.93278622627258,-0.87450844049454,-0.79907226562500,-0.02368164062500,-1.73437500000000,0
34,975836309,-5.00702142715454,3.06256604194641,0.06978109478951,0.99999988079071,-0.00049106869847,-0.00013683084399,-0.00008487980813,-0.00314778089523,-0.00625526905060,0.08054083585739,-0.37635654211044,-0.75546109676361,9.66496753692627,-6.75294971466064,-1.88163459300995,-1.16722774505615,-0.80004882812500,-0.01660156250000,-1.73242187500000,0
35,975844642,-5.01726627349854,3.04633283615112,0.06674075126648,0.99999988079071,-0.00048598367721,-0.00013681408018,-0.00007346179336,-0.00444912910461,-0.00658816099167,0.08022767305374,-0.53249973058701,-0.79547280073166,9.62738609313965,-6.68302249908447,-1.88140380382538,-1.01021265983582,-0.80004882812500,-0.02124023437500,-1.72900390625000,0
36,975852975,-5.02744388580322,3.03038120269775,0.06655264645815,0.99999988079071,-0.00048686284572,-0.00012724008411,-0.00008146557957,-0.00574296712875,-0.00654149055481,0.08017134666443,-0.68785399198532,-0.78990286588669,9.62064170837402,-6.69511222839355,-1.74974679946899,-1.12027692794800,-0.80004882812500,-0.01684570312500,-1.72900390625000,0
37,975861308,-5.03597879409790,3.01324343681335,0.06694170087576,0.99999988079071,-0.00047258939594,-0.00014732684940,-0.00004441570491,-0.00504165887833,-0.00622320175171,0.08127957582474,-0.60360407829285,-0.75128901004791,9.75368309020996,-6.49883079528809,-2.02597069740295,-0.61078423261642,-0.79736328125000,-0.01220703125000,-1.73242187500000,0
38,975869641,-5.04364013671875,2.99835038185120,0.06594641506672,0.99999988079071,-0.00046646688133,-0.00012051593512,-0.00005315896124,-0.00343459844589,-0.00646287202835,0.08143103122711,-0.41093125939369,-0.78022366762161,9.77179718017578,-6.41463708877563,-1.65727949142456,-0.73101741075516,-0.80078125000000,-0.02026367187500,-1.73437500000000,0
39,975877974,-5.05155754089355,2.98495697975159,0.06680490076542,0.99999988079071,-0.00046740379184,-0.00011513475329,-0.00003743823618,-0.00255918502808,-0.00661587715149,0.08198779821396,-0.30592548847198,-0.79865187406540,9.83858489990234,-6.42752122879028,-1.58327996730804,-0.51483333110809,-0.80004882812500,-0.01953125000000,-1.72705078125000,0
40,975886307,-5.06065273284912,2.96817731857300,0.06030467525125,0.99999988079071,-0.00047918315977,-0.00013741198927,-0.00005028489977,-0.00261586904526,-0.00653529167175,0.08218562602997,-0.31259211897850,-0.78876984119415,9.86235237121582,-6.58950471878052,-1.88962602615356,-0.69149464368820,-0.80004882812500,-0.01586914062500,-1.73437500000000,0
41,975894640,-5.07089233398438,2.95266699790955,0.06134992092848,0.99999988079071,-0.00048777367920,-0.00013367738575,-0.00003755185753,-0.00207400321960,-0.00750201940536,0.08127862215042,-0.24749527871609,-0.90524935722351,9.75339984893799,-6.70763874053955,-1.83826971054077,-0.51639580726624,-0.80102539062500,-0.01757812500000,-1.72705078125000,0
42,975902973,-5.08294153213501,2.94009399414062,0.06274513900280,0.99999988079071,-0.00050533469766,-0.00010122638196,-0.00004044454545,-0.00232702493668,-0.00767046213150,0.07998526096344,-0.27824157476425,-0.92537176609039,9.59817600250244,-6.94912910461426,-1.39201843738556,-0.55617469549179,-0.79907226562500,-0.01660156250000,-1.73242187500000,0
43,975911306,-5.09503984451294,2.93024611473083,0.06193093955517,0.99999988079071,-0.00050312560052,-0.00008305627853,-0.00004939641804,-0.00293779373169,-0.00723445415497,0.07971072196960,-0.35169357061386,-0.87310498952866,9.56525039672852,-6.91875028610229,-1.14215147495270,-0.67927664518356,-0.80371093750000,-0.01586914062500,-1.72973632812500,0
44,975919639,-5.10564994812012,2.91839218139648,0.06373660266399,0.99999988079071,-0.00049307849258,-0.00009565148503,-0.00003237184137,-0.00359070301056,-0.00709670782089,0.07998639345169,-0.42990019917488,-0.85666489601135,9.59834861755371,-6.78058719635010,-1.31535494327545,-0.44516256451607,-0.80273437500000,-0.01660156250000,-1.73608398437500,0
45,975927972,-5.11728382110596,2.90702247619629,0.06430889666080,0.99999988079071,-0.00049974303693,-0.00009730551392,-0.00003862660378,-0.00335597991943,-0.00814163684845,0.08059537410736,-0.40172663331032,-0.98202419281006,9.67136955261230,-6.87223482131958,-1.33810031414032,-0.53117519617081,-0.80273437500000,-0.02026367187500,-1.73437500000000,0
46,975936305,-5.12843418121338,2.89510464668274,0.06327887624502,0.99999988079071,-0.00049659516662,-0.00009416881949,-0.00005606841296,-0.00396895408630,-0.00739467144012,0.08098143339157,-0.47529271245003,-0.89242881536484,9.71774864196777,-6.82894706726074,-1.29496610164642,-0.77102684974670,-0.80273437500000,-0.01660156250000,-1.73535156250000,0
47,975944638,-5.14193153381348,2.88530445098877,0.05948123708367,0.99999988079071,-0.00051411520690,-0.00008025486022,-0.00007545109838,-0.00459325313568,-0.00842463970184,0.08053076267242,-0.55038577318192,-1.01585817337036,9.66361618041992,-7.06987428665161,-1.10362780094147,-1.03756844997406,-0.80175781250000,-0.01757812500000,-1.73437500000000,0
48,975952971,-5.15603733062744,2.87438750267029,0.05461847782135,0.99999988079071,-0.00052092317492,-0.00008263159543,-0.00008451286703,-0.00565773248672,-0.00795674324036,0.08040279150009,-0.67803788185120,-0.96015697717667,9.64825820922852,-7.16349458694458,-1.13631153106689,-1.16218185424805,-0.80175781250000,-0.01660156250000,-1.73437500000000,0
49,975961304,-5.17105102539062,2.86055445671082,0.05226834863424,0.99999988079071,-0.00052796397358,-0.00011640135199,-0.00006600748748,-0.00483947992325,-0.00763297080994,0.08032304048538,-0.57957273721695,-0.92114406824112,9.63873100280762,-7.26031684875488,-1.60069775581360,-0.90770459175110,-0.80444335937500,-0.01416015625000,-1.72802734375000,0
50,975969637,-5.18598365783691,2.84802365303040,0.05044712498784,0.99999988079071,-0.00052926223725,-0.00009929295629,-0.00005879718810,-0.00355428457260,-0.00796377658844,0.08023452758789,-0.42550310492516,-0.96089249849319,9.62805652618408,-7.27817010879517,-1.36543095111847,-0.80855184793472,-0.80175781250000,-0.01220703125000,-1.73071289062500,0
51,975977970,-5.19998788833618,2.83703637123108,0.04736408218741,0.99999988079071,-0.00051888730377,-0.00009103585035,-0.00007010716945,-0.00301408767700,-0.00745284557343,0.08064681291580,-0.36080873012543,-0.89917010068893,9.67759513854980,-7.13549852371216,-1.25188302993774,-0.96408140659332,-0.80175781250000,-0.01293945312500,-1.73803710937500,0
52,975986303,-5.21596813201904,2.82281637191772,0.04559106752276,0.99999982118607,-0.00053742621094,-0.00011200923473,-0.00008213613182,-0.00274711847305,-0.00714880228043,0.08100980520248,-0.32854589819908,-0.86297005414963,9.72115325927734,-7.39043807983398,-1.54029941558838,-1.12949824333191,-0.80444335937500,-0.00781250000000,-1.72973632812500,0
53,975994636,-5.23324203491211,2.80969691276550,0.03895184397697,0.99999982118607,-0.00054583046585,-0.00010680686682,-0.00010277610272,-0.00320774316788,-0.00735700130463,0.08082938194275,-0.38378968834877,-0.88834148645401,9.69946002960205,-7.50600910186768,-1.46875870227814,-1.41332960128784,-0.80346679687500,-0.01293945312500,-1.73706054687500,0
54,976002969,-5.24946212768555,2.79756450653076,0.03170884028077,0.99999982118607,-0.00053830724210,-0.00009175855666,-0.00010384898633,-0.00338524580002,-0.00766015052795,0.08041042089462,-0.40529954433441,-0.92430561780930,9.64919281005859,-7.40255403518677,-1.26182138919830,-1.42808341979980,-0.80273437500000,-0.01489257812500,-1.73242187500000,0
55,976011302,-5.26596641540527,2.78627038002014,0.02102627977729,0.99999982118607,-0.00053748767823,-0.00008761417121,-0.00013642851263,-0.00447189807892,-0.00763583183289,0.08018124103546,-0.53564196825027,-0.92179167270660,9.62166881561279,-7.39128351211548,-1.20482969284058,-1.87610208988190,-0.80541992187500,-0.00952148437500,-1.73339843750000,0
56,976019635,-5.28132867813110,2.77304959297180,0.00992181804031,0.99999982118607,-0.00052902381867,-0.00009765941650,-0.00014263298362,-0.00584280490875,-0.00774657726288,0.08060359954834,-0.70012795925140,-0.93464607000351,9.67241096496582,-7.27489185333252,-1.34296727180481,-1.96142292022705,-0.81079101562500,-0.01660156250000,-1.72900390625000,0
57,976027968,-5.29596328735352,2.75723624229431,-0.00218840641901,0.99999982118607,-0.00052057299763,-0.00012571271509,-0.00015260931104,-0.00650447607040,-0.00699317455292,0.08113491535187,-0.77926874160767,-0.84420031309128,9.73625373840332,-7.15868043899536,-1.72874355316162,-2.09861302375793,-0.80541992187500,-0.00952148437500,-1.73071289062500,0
58,976036301,-5.30853176116943,2.74043703079224,-0.01293787918985,0.99999988079071,-0.00050462502986,-0.00012890901417,-0.00014450307935,-0.00542306900024,-0.00651490688324,0.08121126890182,-0.64939731359482,-0.78693276643753,9.74542331695557,-6.93937063217163,-1.77269732952118,-1.98713982105255,-0.80541992187500,-0.01220703125000,-1.73168945312500,0
