dof,algorithm,run,library,optimizer,threshold,ATE,R2_val,R2_test,MSE_test,n_terms,tradeoff_score,equation
a_x,SINDy,run_4,UC,ElasticNet,0.01,0.3593546112811951,0.9781658839372278,0.983902644993985,22.095281574415758,28,0.21801346801346802,7.1405 sin(phi)*sin(theta) + -42.8608 sin(phi)*sin(psi) + -0.1392 sin(theta)*sin(psi) + -16.2901 sin(theta)*cos(psi) + -0.2541 zddot + -0.3926 ydot*wz + -0.0084 wx*wx*y + -0.0409 wz*wz*x + -0.2148 wx*wz*y + -0.6468 alphaz*x + -0.3666 alphaz*z + -0.0839 sin(phi)*xdot*wz + -0.8694 sin(phi)*ydot*wy + 0.5240 sin(phi)*ydot*wz + -0.3974 cos(phi)*ydot*wz + -0.0638 cos(phi)*zdot*wx + -0.0084 cos(phi)*zdot*wz + 0.3914 sin(theta)*ydot*wx + 7.3294 sin(theta)*zdot*wx + -0.4006 cos(theta)*ydot*wz
a_x,SINDy,run_3,UC,STLSQ,0.2,0.8039054468298857,0.9758437883583456,0.9716100344564932,41.219160183287634,3,0.2222222222222222,17.6445 sin(psi) + -1.6830 ydot*wz + 0.1143 cos(theta)*ydot*wz
a_x,SINDy,run_2,UC,LASSO,0.001,0.3906337453187143,0.9883805837685294,0.9755734912117744,28.217015229490254,66,0.22811447811447808,-1.9172 sin(theta) + 4.7847 sin(psi) + -6.2144 sin(phi)*sin(psi) + -1.4304 cos(phi)*sin(theta) + 5.0681 cos(phi)*sin(psi) + 1.2784 cos(phi)*cos(psi) + -0.3164 sin(theta)*cos(theta) + -0.2094 sin(theta)*sin(psi) + -0.7744 sin(psi)*cos(psi) + -0.0119 yddot + -0.1905 zddot + -0.0065 xdot*wz + 0.1868 ydot*wy + -1.3740 ydot*wz + 1.7036 zdot*wy + -0.0496 zdot*wz + 0.3297 wx*wx*x + 0.4179 wx*wx*y + -0.0686 wx*wx*z + 2.0419 wy*wy*x
a_x,SINDy,run_2,UC,STLSQ,0.1,0.5741697884947538,0.9833700028083152,0.9715522324114868,32.86229310334386,21,0.24410774410774408,511.5294 cos(phi) + 12.1315 sin(psi) + 691.9913 sin(phi)*cos(phi) + -742.8916 sin(phi)*cos(theta) + -16.3705 xdot*wx + 6.2968 xdot*wy + -2.6322 xdot*wz + 1.2242 ydot*wy + -2.8439 ydot*wz + 222.0541 zdot*wy + 34.5068 zdot*wz + -1.7130 wy*wz*x + -2.1832 cos(phi)*ydot*wy + 1.9459 cos(phi)*ydot*wz + -34.6905 cos(phi)*zdot*wz + 16.5014 cos(theta)*xdot*wx + -6.0981 cos(theta)*xdot*wy + 2.6629 cos(theta)*xdot*wz + 2.2012 cos(theta)*ydot*wy + -0.5270 cos(theta)*ydot*wz
a_x,SINDy,run_3,UC,LASSO,0.05,0.6801944018556684,0.972528575202264,0.9748323701841606,36.54067713548321,4,0.24410774410774413,-28.5885 sin(phi)*sin(psi) + -32.4736 sin(theta)*cos(psi) + -1.1630 ydot*wz + -0.0815 cos(theta)*ydot*wz
a_x,SINDy,run_4,UC,LASSO,0.01,0.5527490592261679,0.9772893639334088,0.9834781553624936,22.67793741630523,15,0.24494949494949494,-39.7709 sin(phi)*sin(psi) + -1.4097 sin(theta)*sin(psi) + -19.2970 sin(theta)*cos(psi) + -0.1687 zddot + -1.2438 ydot*wz + 0.1180 wx*wy*y + -0.1403 wx*wz*y + -0.5601 alphaz*x + -0.0801 alphaz*z + -0.8064 sin(phi)*ydot*wy + 0.3689 sin(phi)*ydot*wz + 7.6403 sin(theta)*zdot*wx + -0.0763 sin(psi)*zdot*wx + 0.0058 cos(psi)*xdot*wy + 0.0411 cos(psi)*ydot*wy
a_x,SINDy,run_1,UC,LASSO,0.005,0.7792753316333478,0.988481805770296,0.9849204669902188,20.61675635460247,32,0.2483164983164983,6.9960 cos(phi) + -1.2951 sin(theta) + 26.9258 sin(phi)*sin(theta) + -31.5200 sin(phi)*sin(psi) + -0.3223 cos(phi)*sin(theta) + -0.1918 sin(theta)*cos(theta) + -27.2740 sin(theta)*cos(psi) + 0.0599 zddot + -1.2177 ydot*wz + 2.1957 zdot*wy + -0.0128 zdot*wz + 0.0544 wy*wy*y + -0.0541 wz*wz*z + 0.4322 wx*wy*z + -0.0482 wx*wz*z + -0.1571 alphaz*x + 0.3108 alphaz*y + 0.1053 sin(phi)*ydot*wz + 0.5380 sin(phi)*zdot*wz + 0.0009 cos(phi)*xdot*wy
a_x,SINDy,run_2,UC,ElasticNet,0.1,0.983086178987078,0.981437015613866,0.9624583823775928,43.36732708612792,12,0.2676767676767677,-20.5021 sin(phi)*sin(psi) + -23.5682 sin(theta)*cos(psi) + -0.0084 zddot + -0.3823 ydot*wz + -0.0080 zdot*wz + 0.1609 wy*wy*y + -0.1970 alphaz*z + 0.3610 sin(phi)*ydot*wz + -0.3858 cos(phi)*ydot*wz + 0.8625 sin(theta)*xdot*wy + -0.3899 cos(theta)*ydot*wz + -0.0268 cos(theta)*zdot*wz
a_x,SINDy,run_2,UC,ElasticNet,0.05,0.8976915865949285,0.985738434884707,0.9758935713166236,27.847265083389026,19,0.27104377104377103,-32.1534 sin(phi)*sin(psi) + -22.1826 sin(theta)*cos(psi) + -0.0781 zddot + 0.0363 ydot*wy + -0.3965 ydot*wz + -0.0373 zdot*wz + 0.2194 wy*wy*y + 0.2789 alphay*z + -0.0491 alphaz*x + -0.8389 alphaz*z + 0.4123 sin(phi)*ydot*wz + 0.0619 cos(phi)*ydot*wy + -0.3996 cos(phi)*ydot*wz + 0.0991 cos(phi)*zdot*wy + -0.0121 cos(phi)*zdot*wz + 1.1888 sin(theta)*xdot*wy + -0.4039 cos(theta)*ydot*wz + -0.0498 cos(theta)*zdot*wz + 0.0735 sign(zdot)
a_x,SINDy,run_2,UC,STLSQ,0.2,1.4324103606125604,0.9828737550018518,0.9688120689360716,36.02767523746003,4,0.27272727272727276,7.0355 ydot*wy + -1.2487 ydot*wz + -4.0762 wy*wz*x + -3.7276 cos(theta)*ydot*wy
a_x,SINDy,run_1,UC,LASSO,0.01,1.0873821254029024,0.9876901693536292,0.984202787223898,21.59796902698857,18,0.27946127946127947,0.0785 sin(phi)*cos(phi) + 13.6198 sin(phi)*sin(theta) + -29.5139 sin(phi)*sin(psi) + -24.7392 sin(theta)*cos(psi) + 0.0088 zddot + -0.4201 ydot*wz + -0.1600 zdot*wz + -0.0248 wz*wz*z + -0.0440 alphaz*x + 0.2250 alphaz*y + 0.1212 sin(phi)*ydot*wz + 2.1403 cos(phi)*zdot*wy + 1.1414 sin(theta)*xdot*wy + -0.7850 cos(theta)*ydot*wz + 0.0115 cos(psi)*xdot*wz + 0.0411 cos(psi)*zdot*wy + 0.0315 sign(ydot) + 2.3701 sign(wz)
a_x,SINDy,run_2,UC,LASSO,0.05,1.281227452674962,0.9834535669188694,0.964902668014556,40.54373712321584,8,0.28451178451178455,-22.9869 sin(phi)*sin(psi) + -22.8476 sin(theta)*cos(psi) + -1.2076 ydot*wz + 0.0925 wy*wy*y + -0.2571 alphaz*z + 0.0906 sin(phi)*ydot*wz + 0.8804 sin(theta)*xdot*wy + -0.0059 cos(theta)*ydot*wz
a_y,SINDy,run_5,UC,STLSQ,0.3,0.1886308193642192,0.953799901625956,0.9643005788748652,50.487231262266526,1,0.15151515151515152,1.2281 cos(phi)*xdot*wz
a_y,SINDy,run_5,UC,STLSQ,0.5,0.1886308193642192,0.953799901625956,0.9643005788748652,50.487231262266526,1,0.15151515151515152,1.2281 cos(phi)*xdot*wz
a_y,SINDy,run_5,UC,LASSO,0.01,0.2603384237323294,0.98138638144357,0.9868564360251656,18.588036811069088,18,0.1531986531986532,34.8629 sin(phi)*cos(psi) + -25.0601 sin(theta)*sin(psi) + 1.2018 xdot*wz + -0.8348 wy*wy*z + -0.0532 wz*wz*z + -0.1991 wx*wy*y + 0.0198 wy*wz*x + 0.0703 wy*wz*z + -0.1884 alphaz*y + -0.2278 cos(phi)*xdot*wy + 0.0048 cos(phi)*ydot*wz + 0.0307 sin(theta)*xdot*wz + 0.3351 sin(theta)*ydot*wy + 0.0129 cos(theta)*xdot*wz + -0.0105 sin(psi)*xdot*wy + 0.3958 sin(psi)*zdot*wy + 0.2539 sign(zdot) + -0.1912 sign(wx)
