sep=,
DeviceTag:,OR
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-09-03_20:41:58_000 PDT
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status
0,1050499989,-6.68834877014160,0.63188064098358,36.32859802246094,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,-0.84155273437500,0.01049804687500,-1.68798828125000,0
1,1050508322,-6.67832469940186,0.68599086999893,36.32332611083984,0.99999982118607,-0.00031002704054,0.00047643668950,-0.00002539623529,-0.00026291608810,-0.00902736186981,0.07985156774521,-0.03614619746804,-1.08633577823639,9.58221530914307,-4.26334953308105,6.55173826217651,-0.34923735260963,-0.84594726562500,0.00610351562500,-1.69189453125000,0
2,1050516655,-6.66756629943848,0.73834389448166,36.31942367553711,0.99999982118607,-0.00030283629894,0.00047055911273,-0.00001522898674,-0.00014561414719,-0.00870996713638,0.08026248216629,-0.02219908870757,-1.04828953742981,9.63154125213623,-4.16446542739868,6.47091293334961,-0.20942203700542,-0.84057617187500,0.00976562500000,-1.68994140625000,0
3,1050524988,-6.65542602539062,0.79084485769272,36.31623840332031,0.99999988079071,-0.00029167998582,0.00046037882566,-0.00000931415707,-0.00002092123032,-0.00874394178391,0.08087056875229,-0.00698238238692,-1.05215418338776,9.70454597473145,-4.01104879379272,6.33091688156128,-0.12808398902416,-0.83715820312500,0.00878906250000,-1.68969726562500,0
4,1050533321,-6.64386940002441,0.83841836452484,36.31264495849609,0.99999988079071,-0.00029589887708,0.00042859651148,-0.00001599546522,-0.00015002489090,-0.00931811332703,0.08157718181610,-0.02213111519814,-1.12108027935028,9.78931903839111,-4.06906509399414,5.89386177062988,-0.21996225416660,-0.83081054687500,0.00512695312500,-1.68798828125000,0
5,1050541654,-6.63153409957886,0.88387721776962,36.30937576293945,0.99999988079071,-0.00029005203396,0.00039933621883,-0.00001724157482,-0.00040960311890,-0.00957548618317,0.08173936605453,-0.05296401679516,-1.15188610553741,9.80876827239990,-3.98866200447083,5.49148654937744,-0.23709814250469,-0.83984375000000,0.01147460937500,-1.69433593750000,0
6,1050549987,-6.61983585357666,0.92611742019653,36.30615234375000,0.99999988079071,-0.00029468815774,0.00038228742778,-0.00001888256520,-0.00045806169510,-0.00964564085007,0.08190715312958,-0.05878657475114,-1.16048359870911,9.82887935638428,-4.05241537094116,5.25704002380371,-0.25966429710388,-0.83813476562500,0.00683593750000,-1.68798828125000,0
7,1050558320,-6.60959339141846,0.96728330850601,36.30260467529297,0.99999988079071,-0.00030817836523,0.00036249961704,-0.00002406165004,-0.00089859962463,-0.00956863164902,0.08224010467529,-0.11156531423330,-1.15147948265076,9.86879348754883,-4.23792648315430,4.98492717742920,-0.33088469505310,-0.83618164062500,0.00708007812500,-1.69433593750000,0
8,1050566653,-6.60087442398071,1.00256788730621,36.29983901977539,0.99999988079071,-0.00032057892531,0.00032125413418,-0.00002167653292,-0.00098174810410,-0.00932562351227,0.08201718330383,-0.12098502367735,-1.12231051921844,9.84205341339111,-4.40845394134521,4.41773891448975,-0.29808571934700,-0.82812500000000,0.00317382812500,-1.68798828125000,0
9,1050574986,-6.59393405914307,1.03459632396698,36.29677963256836,0.99999988079071,-0.00033711921424,0.00028275139630,-0.00002906937152,-0.00050079822540,-0.00885695219040,0.08151000738144,-0.06303233653307,-1.06641662120819,9.78118801116943,-4.63590812683105,3.88826656341553,-0.39974862337112,-0.82983398437500,0.00708007812500,-1.69604492187500,0
