model_type,library,optimizer,with_lambda,dof,dof_name,n_terms,threshold,mse_train,mse_val,mse_test,r2_test,bic,equation
SINDy,Full,Ridge,False,1,yddot,62,3.162278,0.0016682238070143398,0.004736376879991086,0.5221310859097622,-0.38277474818558677,-736.9591794333656,-0.060922 x -0.026195 y +0.061810 theta +0.008578 xdot +0.050344 ydot -0.017181 thetadot +0.022270 xddot -0.010666 thetaddot +0.076407 x^2 -0.064030 x y -0.071978 x theta +0.033912 x xdot -0.024161 x ydot -0.030608 x thetadot -0.020459 x xddot +0.020412 x thetaddot -0.076281 y^2 +0.019612 y theta +0.015515 y xdot +0.000653 y ydot -0.024592 y thetadot +0.021728 y xddot -0.010666 y thetaddot +0.069992 theta^2 -0.020432 theta xdot +0.051089 theta ydot +0.015260 theta thetadot +0.020846 theta xddot -0.016747 theta thetaddot +0.012449 xdot^2 +0.024197 xdot ydot -0.003913 xdot thetadot -0.011832 xdot xddot +0.006938 xdot thetaddot -0.000951 ydot^2 -0.038365 ydot thetadot +0.012419 ydot xddot +0.174406 ydot thetaddot -0.005005 thetadot^2 +0.018124 thetadot xddot -0.013349 thetadot thetaddot -0.048519 xddot^2 +0.047639 xddot thetaddot -0.047639 thetaddot^2 -0.015376 sin(theta) +0.062233 cos(theta) -0.032375 sin(theta) x -0.026843 sin(theta) y +0.015549 sin(theta) theta +0.093203 sin(theta) xdot +0.051352 sin(theta) ydot -0.090988 sin(theta) thetadot +0.036436 sin(theta) xddot -0.019054 sin(theta) thetaddot -0.026289 cos(theta) x +0.045151 cos(theta) y +0.041681 cos(theta) theta -0.085049 cos(theta) xdot +0.002604 cos(theta) ydot +0.091886 cos(theta) thetadot -0.033981 cos(theta) xddot +0.025598 cos(theta) thetaddot
SINDy,Full,Ridge,False,2,thetaddot,62,0.0001,3.304956003214161e-10,0.012255265862536724,0.11293192744221113,-6.604882150457836,-547.7732149046404,-0.012227 x -0.006435 y +0.009248 theta -0.006583 xdot +0.001011 ydot +0.010730 thetadot -0.152959 xddot +0.006797 yddot +0.016567 x^2 +0.005956 x y -0.014878 x theta -0.023552 x xdot -0.011619 x ydot +0.033292 x thetadot +0.122788 x xddot -0.002436 x yddot -0.000110 y^2 -0.018924 y theta +0.037685 y xdot +0.000094 y ydot -0.030777 y thetadot -0.129853 y xddot -0.031365 y yddot +0.012619 theta^2 +0.017132 theta xdot +0.001388 theta ydot -0.022862 theta thetadot -0.131334 theta xddot +0.007546 theta yddot +0.016863 xdot^2 +0.038151 xdot ydot -0.019050 xdot thetadot +0.083885 xdot xddot -0.037522 xdot yddot -0.016602 ydot^2 +0.027017 ydot thetadot -0.018681 ydot xddot +0.012242 ydot yddot +0.026599 thetadot^2 -0.162970 thetadot xddot +0.040684 thetadot yddot +0.002135 xddot^2 -0.040558 xddot yddot -0.005947 yddot^2 -0.040930 sin(theta) -0.041965 cos(theta) +0.027996 sin(theta) x -0.009469 sin(theta) y -0.037868 sin(theta) theta -0.041111 sin(theta) xdot +0.026404 sin(theta) ydot +0.047803 sin(theta) thetadot +0.008653 sin(theta) xddot +0.008811 sin(theta) yddot +0.068299 cos(theta) x +0.016512 cos(theta) y -0.055167 cos(theta) theta +0.059058 cos(theta) xdot +0.017782 cos(theta) ydot -0.102500 cos(theta) thetadot -0.023478 cos(theta) xddot -0.018978 cos(theta) yddot
SINDy,Full,ElasticNet,False,0,xddot,16,0.001585,1.770082690641804e-07,0.002678228124211065,0.003940626649553313,0.5508841201890159,-1093.9044931128758,-0.165738 thetaddot +0.027360 x^2 -0.005356 x theta +0.000196 x ydot +0.060847 x thetaddot -0.127408 y thetaddot -0.096499 theta thetaddot +0.114605 xdot thetaddot -0.005396 ydot thetadot -0.015988 ydot thetaddot -0.124216 thetadot thetaddot +0.022427 cos(theta) -0.021043 cos(theta) x +0.034939 cos(theta) theta -0.118167 cos(theta) xdot +0.112923 cos(theta) thetadot
SINDy,Full,ElasticNet,False,1,yddot,24,0.001585,0.0017175441446059976,0.0037616177097308037,0.5435435548939422,-0.43948200467088316,-983.9590124660903,-0.074203 x +0.070010 theta +0.007850 ydot +0.086611 x^2 -0.161828 x y -0.114354 x theta +0.066547 x xdot -0.029947 x thetadot -0.050801 y^2 -0.000115 y xdot +0.021297 y ydot +0.119787 theta^2 -0.004799 theta xdot +0.027852 theta ydot +0.142638 ydot thetaddot -0.051673 xddot^2 +0.044285 xddot thetaddot -0.044587 thetaddot^2 +0.095415 cos(theta) +0.087323 sin(theta) xdot +0.030036 sin(theta) ydot -0.056744 sin(theta) thetadot -0.074169 cos(theta) xdot +0.156040 cos(theta) thetadot
SINDy,Full,ElasticNet,False,2,thetaddot,13,1.0,0.09853694521746847,0.011979484655074127,0.05912333970194952,-2.9813898598772353,-811.6744184394081,-0.076789 xddot -0.029616 x xdot +0.027932 x thetadot +0.061853 x xddot -0.064026 y xddot +0.010709 theta xdot -0.009727 theta thetadot -0.069954 theta xddot +0.035876 xdot xddot -0.036438 thetadot xddot +0.015641 cos(theta) xdot -0.024328 cos(theta) thetadot -0.006028 cos(theta) xddot
SINDy,Full,SR3_L0,False,0,xddot,3,0.129155,0.00944274935224747,0.003385425436530444,0.01289542103688569,-0.4696998420721956,-1116.0869493563362, 1.384 yddot +  1.227 theta yddot +  2.482 yddot^2
SINDy,Full,SR3_L0,False,1,yddot,61,0.0001,1.2489586306403454e-07,1.5253777631064573e+17,2.7197693822872003e+17,-7.202843355250871e+17,8196.563140393331,-39626237.753 1 +  21551255.833 x +  31516782.507 y + -115624134.264 theta +  32144214.740 xdot +  113787738.535 ydot +  53674586.486 thetadot + -1250177488.087 xddot +  3214923851.278 thetaddot + -6659669.776 x^2 + -14105841.061 x y + -45465156.485 x theta +  31900846.895 x xdot + -5650719.349 x ydot +  31181401.628 x thetadot + -174650472.611 x xddot + -302272466.360 x thetaddot + -28031685.895 y theta +  19466033.253 y xdot +  17089653.655 y thetadot +  61052760.514 y xddot + -4283139828.271 y thetaddot +  87754815.277 theta^2 +  39419760.693 theta xdot + -111635776.672 theta ydot +  25165105.564 theta thetadot +  528098397.352 theta xddot +  309520131.647 theta thetaddot + -73087215.769 xdot^2 + -9148956.556 xdot ydot + -196084787.064 xdot thetadot + -824914480.541 xdot xddot + -824451026.169 xdot thetaddot +  12.540 ydot^2 + -12857409.144 ydot thetadot +  8729487.154 ydot xddot +  7330417.410 ydot thetaddot + -127290635.165 thetadot^2 +  692751698.878 thetadot xddot +  674354115.123 thetadot thetaddot + -433145361.793 xddot^2 + -105046954.810 xddot thetaddot +  329310871.437 thetaddot^2 + -81645674.632 sin(theta) +  76297101.064 cos(theta) +  97224092.470 sin(theta) x + -4646642.260 sin(theta) y +  149176668.993 sin(theta) theta + -82417.052 sin(theta) xdot + -7387449.150 sin(theta) ydot + -1725618.645 sin(theta) thetadot +  137078438.221 sin(theta) xddot +  137911891.715 sin(theta) thetaddot + -94291426.545 cos(theta) x + -20069408.274 cos(theta) y + -147668090.103 cos(theta) theta + -25294866.319 cos(theta) xdot + -4092421.046 cos(theta) ydot + -24594896.551 cos(theta) thetadot +  6991762.268 cos(theta) xddot +  9716506.861 cos(theta) thetaddot
SINDy,Full,SR3_L0,False,2,thetaddot,3,0.003981,6.489584055265988e-06,0.007942417790254246,0.05156037196680729,-2.4720965215261015,-946.3920564808236,-0.905 xddot + -0.141 y xddot + -0.102 xddot yddot
SINDy,Full+λ,STLSQ,True,0,xddot,9,0.046416,2.753414634077001e-08,0.00199647717450944,0.0028990285496698085,0.6695957588802013,-1189.4180983689905,-2012476.701 thetaddot + -0.451 x thetaddot +  2012475.160 y thetaddot +  0.180 xdot thetaddot +  0.941 thetadot thetaddot +  0.333 sin(theta) thetaddot + -0.276 cos(theta) x +  0.621 cos(theta) xdot +  0.878 cos(theta) thetadot
SINDy,Full+λ,STLSQ,True,1,yddot,1,0.129155,0.004512684742267224,0.0007478210270047318,0.04429680129314332,0.8826875091207665,-1427.1777237638207, 0.990 lambda_N
