model_type,library,optimizer,with_lambda,dof,dof_name,n_terms,threshold,mse_train,mse_val,mse_test,r2_test,ate,equation
SINDy,UC+λ,Ridge,True,0,xddot,14,0.0001,1.0213287290847679e-10,5.274811605759762e-05,0.00010959615505380649,0.9875092522133578,0.4356170973928344,-0.022799 sin(theta) +0.120299 cos(theta) -0.035439 thetadot^2 +0.038379 yddot -0.069116 thetaddot -0.006723 sin(theta) cos(theta) -0.014280 sin(theta) thetadot^2 -0.011904 sin(theta) yddot +0.186177 sin(theta) thetaddot +0.505115 cos(theta) thetadot^2 +0.032426 cos(theta) yddot -0.002162 cos(theta) thetaddot -0.031220 lambda_N +0.400830 lambda_F
SINDy,UC+λ,Ridge,True,1,yddot,14,31.622777,0.0029489197502827105,0.06391486099390095,0.3980469704476767,-0.05415922204246404,0.3360978916169873,-0.030411 sin(theta) +0.143646 cos(theta) +0.105439 thetadot^2 +0.021111 xddot -0.020382 thetaddot +0.268080 sin(theta) cos(theta) -0.006335 sin(theta) thetadot^2 -0.024388 sin(theta) xddot +0.022592 sin(theta) thetaddot -0.022641 cos(theta) thetadot^2 +0.072720 cos(theta) xddot -0.073552 cos(theta) thetaddot +0.342277 lambda_N +0.062970 lambda_F
SINDy,UC+λ,Ridge,True,2,thetaddot,14,0.599484,1.2026674351480458e-05,0.1062457599193428,0.21325105452860893,-13.360413169967375,2.4463838600290213,-0.024601 sin(theta) -0.180020 cos(theta) -0.120430 thetadot^2 -0.344725 xddot -0.006610 yddot +0.042520 sin(theta) cos(theta) -0.064368 sin(theta) thetadot^2 +0.157938 sin(theta) xddot -0.084545 sin(theta) yddot -0.325935 cos(theta) thetadot^2 +0.061970 cos(theta) xddot -0.133851 cos(theta) yddot +0.046346 lambda_N -0.311707 lambda_F
SINDy,UC+λ,ElasticNet,True,0,xddot,9,0.000631,6.192100581835965e-07,0.00020326851114826525,0.00032176403362496603,0.9633283358449123,0.4371486314773444,+0.062357 cos(theta) -0.007757 thetadot^2 -0.298237 thetaddot +0.029759 sin(theta) cos(theta) -0.001371 sin(theta) thetadot^2 +0.059253 sin(theta) thetaddot +0.489521 cos(theta) thetadot^2 -0.000936 cos(theta) yddot +0.192487 lambda_F
SINDy,UC+λ,ElasticNet,True,1,yddot,0,3.162278,0.23862021056058919,0.24647519412871835,0.3990677673287227,-0.056862627735456917,0.2786098772390837,0
SINDy,UC+λ,ElasticNet,True,2,thetaddot,11,0.000251,1.543400620777783e-05,0.12265179741956184,0.2235462757405919,-14.053697574150492,2.441865567317952,-0.035031 sin(theta) -0.144994 thetadot^2 -0.551636 xddot +0.022600 sin(theta) cos(theta) -0.079837 sin(theta) thetadot^2 +0.119528 sin(theta) xddot -0.056702 sin(theta) yddot -0.261660 cos(theta) thetadot^2 +0.058456 cos(theta) xddot -0.097991 cos(theta) yddot -0.280789 lambda_F
SINDy,UC+λ,SR3_L0,True,0,xddot,3,0.0001,2.882688176778811e-13,1.0363277216297085e-12,1.0326997316887596e-12,0.9999999998823025,0.43424919269532164, 0.194 sin(theta) thetaddot +  0.593 cos(theta) thetadot^2 +  0.479 lambda_F
SINDy,UC+λ,SR3_L0,True,1,yddot,0,0.599484,0.23862021056058919,0.24647519412871835,0.3990677673287227,-0.056862627735456917,0.2786098772390837, 0.000
SINDy,UC+λ,SR3_L0,True,2,thetaddot,1,0.359381,0.0585971176206889,0.13209932408997194,0.16529305015797507,-10.130901554694164,2.4319413999678448,-0.953 cos(theta)
Lagrange,Lagrange,Lasso,False,0,xddot,15,0.0001,,,0.019436978399319,,,"T = +1.000000*xdot^2 +0.019139*thetadot^2 -0.044167*xdot ydot +0.297718*xdot thetadot -0.001451*ydot thetadot -0.020837*xdot thetadot sin(theta) +0.006375*xdot thetadot cos(theta) +0.001666*ydot thetadot sin(theta) -0.000295*ydot thetadot cos(theta) -0.003859*thetadot^2 sin(theta) +0.000255*thetadot^2 cos(theta)
V = -0.004067*y +0.009673*sin(theta) -0.002910*y cos(theta) +0.026369*x"
